joined,generation,inviter_joined,activated_card,first_purchase,fifth_purchase,last_activity,joined_bonus,days_till_activation,has_activated_card,days_till_first_purchase,days_till_fifth_purchase,fifth_purchase_bonus,currently_active,first_purchase_binned,fifth_purchase_binned
2021-01-02,GEN Z,2020-03-03,2021-01-14,2021-01-04,2021-01-08,2021-11-15,10,12,Y,2,6,10,Y,2,6
2021-01-02,GEN X,2020-12-19,2021-01-13,,,2021-04-13,10,11,Y,-1,-1,0,N,-1,-1
2021-01-02,GEN Z,2019-01-19,2021-01-11,2021-01-06,2021-01-08,2021-11-14,10,9,Y,4,6,10,Y,4,6
2021-01-02,GEN Y,2020-04-02,,,,,10,-1,N,-1,-1,0,N,-1,-1
2021-01-02,GEN Y,2019-01-20,2021-03-15,2021-01-04,2021-03-15,2021-11-15,10,72,Y,2,72,0,Y,2,>30
2021-01-02,GEN Z,2020-05-06,2021-01-14,2021-01-14,2021-01-17,2021-11-15,10,12,Y,12,15,10,Y,12,15
2021-01-02,GEN Y,2021-01-01,2021-01-08,2021-01-09,2021-01-10,2021-07-08,10,6,Y,7,8,10,N,7,8
2021-01-02,GEN Z,2019-10-17,2021-01-20,2021-01-26,2021-02-22,2021-11-14,10,18,Y,24,51,0,Y,24,>30
2021-01-02,GEN Z,2019-09-22,2021-07-17,2021-01-15,2021-01-24,2021-11-13,10,196,Y,13,22,10,Y,13,22
2021-01-02,GEN Y,2019-09-22,2021-03-13,,,2021-11-01,10,70,Y,-1,-1,0,Y,-1,-1
2021-01-02,GEN X,2019-09-20,,,,2021-01-04,10,-1,N,-1,-1,0,N,-1,-1
2021-01-02,GEN Y,2019-09-21,2021-01-09,2021-01-14,2021-01-17,2021-07-23,10,7,Y,12,15,10,N,12,15
2021-01-02,GEN Y,2020-02-22,2021-01-13,2021-01-13,2021-01-28,2021-11-13,10,11,Y,11,26,10,Y,11,26
2021-01-02,GEN Y,2019-03-05,2021-01-16,2021-01-03,2021-01-11,2021-11-01,10,14,Y,1,9,10,Y,1,9
2021-01-02,GEN Y,2019-11-21,2021-01-13,,,2021-11-11,10,11,Y,-1,-1,0,Y,-1,-1
2021-01-02,GEN Y,2020-05-31,2021-01-15,2021-01-16,2021-02-04,2021-11-14,10,13,Y,14,33,0,Y,14,>30
2021-01-02,GEN Z,2019-02-03,2021-01-13,2021-01-04,2021-01-14,2021-11-14,10,11,Y,2,12,10,Y,2,12
2021-01-02,GEN Z,2020-03-09,2021-02-06,,,2021-01-02,10,35,Y,-1,-1,0,N,-1,-1
2021-01-02,GEN Z,2020-06-21,,,,2021-03-11,10,-1,N,-1,-1,0,N,-1,-1
2021-01-02,GEN Y,2019-09-09,2021-01-11,2021-01-12,2021-01-15,2021-11-14,10,9,Y,10,13,10,Y,10,13
2021-01-02,GEN Y,2019-09-12,,,,2021-03-21,10,-1,N,-1,-1,0,N,-1,-1
2021-01-02,GEN Y,2020-01-15,,,,,10,-1,N,-1,-1,0,N,-1,-1
2021-01-02,GEN Z,2020-12-30,2021-03-09,2021-01-06,2021-01-10,2021-04-21,10,66,Y,4,8,10,N,4,8
2021-01-02,GEN Y,2020-08-01,2021-01-11,2021-01-14,2021-01-17,2021-11-13,10,9,Y,12,15,10,Y,12,15
2021-01-02,GEN Z,2020-12-17,,2021-01-03,2021-01-14,2021-02-01,10,-1,N,1,12,10,N,1,12
2021-01-02,GEN Z,2020-12-16,2021-01-21,2021-01-03,2021-01-04,2021-11-13,10,19,Y,1,2,10,Y,1,2
2021-01-02,GEN Y,2020-12-21,2021-02-04,2021-02-25,,2021-02-25,10,33,Y,54,-1,0,N,>30,-1
2021-01-02,GEN Y,2020-05-22,2021-02-06,2021-01-29,2021-02-10,2021-11-14,10,35,Y,27,39,0,Y,27,>30
2021-01-02,GEN Z,2020-11-08,,,,,10,-1,N,-1,-1,0,N,-1,-1
2021-01-02,GEN Z,2020-12-20,2021-01-26,2021-01-27,2021-01-28,2021-11-12,10,24,Y,25,26,10,Y,25,26
2021-01-02,GEN Z,2020-09-10,2021-02-19,,,2021-02-19,10,48,Y,-1,-1,0,N,-1,-1
2021-01-02,GEN Y,2020-10-28,2021-02-09,2021-02-09,2021-02-28,2021-11-12,10,38,Y,38,57,0,Y,>30,>30
2021-01-02,GEN Y,2020-09-24,,,,2021-01-07,10,-1,N,-1,-1,0,N,-1,-1
2021-01-02,GEN X,2019-09-20,2021-01-12,2021-05-27,2021-06-26,2021-11-11,10,10,Y,145,175,0,Y,>30,>30
2021-01-02,GEN Y,2019-09-10,2021-02-10,2021-01-05,2021-02-10,2021-11-15,10,39,Y,3,39,0,Y,3,>30
2021-01-02,GEN Y,2020-08-14,2021-01-14,2021-01-21,2021-01-23,2021-11-01,10,12,Y,19,21,10,Y,19,21
2021-01-02,GEN Z,2019-08-10,2021-01-12,2021-01-12,2021-01-25,2021-11-09,10,10,Y,10,23,10,Y,10,23
2021-01-02,GEN Y,2020-11-07,,,,2021-03-13,10,-1,N,-1,-1,0,N,-1,-1
2021-01-03,GEN Y,2020-11-04,2021-01-16,2021-01-21,2021-01-25,2021-02-24,10,13,Y,18,22,10,N,18,22
2021-01-03,GEN X,2020-07-26,2021-01-19,,,,10,16,Y,-1,-1,0,N,-1,-1
2021-01-03,GEN Y,2020-05-16,2021-01-12,2021-08-04,2021-08-05,2021-11-14,10,9,Y,213,214,0,Y,>30,>30
2021-01-03,GEN Y,2019-07-20,,,,2021-01-03,10,-1,N,-1,-1,0,N,-1,-1
2021-01-03,GEN Y,2019-03-23,2021-02-05,2021-02-05,2021-02-05,2021-11-09,10,33,Y,33,33,0,Y,>30,>30
2021-01-03,GEN Z,2020-12-21,,,,,10,-1,N,-1,-1,0,N,-1,-1
2021-01-03,GEN X,2020-09-08,,,,,10,-1,N,-1,-1,0,N,-1,-1
2021-01-03,GEN Z,2020-10-04,2021-02-21,2021-06-06,,2021-06-06,10,49,Y,154,-1,0,N,>30,-1
2021-01-03,GEN Z,2020-06-24,2021-01-12,2021-01-04,2021-01-07,2021-11-11,10,9,Y,1,4,10,Y,1,4
2021-01-03,GEN Y,2020-11-07,2021-01-15,2021-01-15,2021-01-16,2021-11-13,10,12,Y,12,13,10,Y,12,13
2021-01-03,GEN Z,2020-12-23,2021-02-16,2021-01-03,2021-01-06,2021-10-01,10,44,Y,0,3,10,N,0,3
2021-01-03,GEN Z,2020-07-19,2021-01-27,,,2021-11-14,10,24,Y,-1,-1,0,Y,-1,-1
2021-01-03,GEN Z,2020-02-05,2021-01-14,2021-01-10,2021-01-21,2021-11-14,10,11,Y,7,18,10,Y,7,18
2021-01-03,GEN X,2020-12-23,2021-07-27,2021-07-28,2021-08-11,2021-11-12,10,205,Y,206,220,0,Y,>30,>30
2021-01-03,GEN Y,2020-02-04,2021-01-15,2021-01-03,2021-01-15,2021-11-14,10,12,Y,0,12,10,Y,0,12
2021-01-03,GEN Z,2020-05-05,2021-01-11,,,,10,8,Y,-1,-1,0,N,-1,-1
2021-01-03,GEN Z,2020-09-20,,2021-01-04,,2021-01-04,10,-1,N,1,-1,0,N,1,-1
2021-01-03,GEN Z,2020-09-20,,2021-01-09,,2021-01-09,10,-1,N,6,-1,0,N,6,-1
2021-01-03,GEN X,2019-05-04,,,,2021-01-11,10,-1,N,-1,-1,0,N,-1,-1
2021-01-03,GEN Z,2020-09-20,,,,,10,-1,N,-1,-1,0,N,-1,-1
2021-01-03,GEN Z,2019-04-23,,,,2021-01-03,10,-1,N,-1,-1,0,N,-1,-1
2021-01-03,GEN Y,2020-03-18,,,,,10,-1,N,-1,-1,0,N,-1,-1
2021-01-03,GEN Z,2020-12-30,2021-01-14,2021-01-08,2021-01-10,2021-11-15,10,11,Y,5,7,10,Y,5,7
2021-01-03,GEN X,2020-12-16,2021-01-11,2021-01-14,2021-01-19,2021-11-12,10,8,Y,11,16,10,Y,11,16
2021-01-03,GEN Y,2020-01-21,2021-01-12,2021-03-09,2021-03-25,2021-11-14,10,9,Y,65,81,0,Y,>30,>30
2021-01-03,GEN X,2019-06-20,2021-01-29,2021-03-11,2021-03-17,2021-06-10,10,26,Y,67,73,0,N,>30,>30
2021-01-03,GEN Z,2019-10-23,2021-01-15,2021-01-05,2021-01-15,2021-10-28,10,12,Y,2,12,10,Y,2,12
2021-01-03,BOOMER,2020-11-20,2021-01-10,2021-01-13,2021-01-18,2021-09-21,10,7,Y,10,15,10,N,10,15
2021-01-03,GEN Z,2020-10-27,2021-01-20,2021-01-04,2021-01-05,2021-11-15,10,17,Y,1,2,10,Y,1,2
2021-01-03,GEN Y,2020-08-20,2021-01-19,2021-01-04,2021-01-24,2021-11-13,10,16,Y,1,21,10,Y,1,21
2021-01-03,GEN Z,2020-06-30,2021-01-17,2021-01-04,2021-01-11,2021-11-14,10,14,Y,1,8,10,Y,1,8
2021-01-03,GEN Y,2020-02-04,,,,2021-01-04,10,-1,N,-1,-1,0,N,-1,-1
2021-01-03,GEN Y,2019-06-04,2021-01-23,2021-02-01,,2021-07-25,10,20,Y,29,-1,0,N,29,-1
2021-01-03,GEN Y,2019-04-13,2021-01-18,2021-01-05,2021-01-24,2021-11-09,10,15,Y,2,21,10,Y,2,21
2021-01-03,GEN Y,2020-12-03,2021-01-16,2021-06-28,2021-06-29,2021-11-10,10,13,Y,176,177,0,Y,>30,>30
2021-01-03,GEN Y,2021-01-02,2021-01-14,2021-01-06,2021-01-09,2021-11-15,10,11,Y,3,6,10,Y,3,6
2021-01-03,GEN Y,2020-11-04,2021-01-12,2021-01-04,2021-01-07,2021-11-15,10,9,Y,1,4,10,Y,1,4
2021-01-03,GEN Y,2020-01-19,2021-01-28,2021-01-04,2021-01-05,2021-11-14,10,25,Y,1,2,10,Y,1,2
2021-01-03,GEN Y,2019-01-22,2021-01-13,2021-01-05,2021-01-08,2021-11-11,10,10,Y,2,5,10,Y,2,5
2021-01-03,GEN Z,2020-12-13,,2021-01-06,2021-01-14,2021-11-14,10,-1,N,3,11,10,Y,3,11
2021-01-03,GEN Y,2020-09-29,2021-02-18,2021-02-18,2021-02-24,2021-09-14,10,46,Y,46,52,0,N,>30,>30
2021-01-03,GEN Z,2019-04-10,,2021-01-05,,2021-01-05,10,-1,N,2,-1,0,N,2,-1
2021-01-03,GEN Y,2020-02-10,2021-08-17,,,2021-08-17,10,226,Y,-1,-1,0,N,-1,-1
2021-01-03,GEN Z,2019-09-13,2021-01-08,2021-01-14,2021-02-08,2021-11-11,10,5,Y,11,36,0,Y,11,>30
2021-01-03,GEN Z,2020-04-19,2021-01-11,2021-01-12,2021-04-06,2021-11-07,10,8,Y,9,93,0,Y,9,>30
2021-01-03,GEN Y,2020-02-26,2021-02-02,2021-02-02,2021-02-04,2021-11-14,10,30,Y,30,32,0,Y,30,>30
2021-01-03,GEN Z,2020-12-12,2021-03-03,2021-03-04,,2021-10-11,10,59,Y,60,-1,0,N,>30,-1
2021-01-03,GEN Z,2020-01-13,2021-07-04,2021-01-05,2021-01-12,2021-11-08,10,182,Y,2,9,10,Y,2,9
2021-01-03,GEN Z,2018-10-16,2021-01-12,2021-01-05,2021-01-13,2021-04-16,10,9,Y,2,10,10,N,2,10
2021-01-03,GEN Z,2021-01-03,2021-01-12,2021-01-05,2021-01-14,2021-09-11,10,9,Y,2,11,10,N,2,11
2021-01-03,GEN Z,2021-01-03,2021-01-08,,,2021-01-12,10,5,Y,-1,-1,0,N,-1,-1
2021-01-03,GEN Z,2020-02-12,2021-01-15,2021-01-07,2021-01-14,2021-11-13,10,12,Y,4,11,10,Y,4,11
2021-01-03,GEN Y,2020-12-27,,,,2021-04-06,10,-1,N,-1,-1,0,N,-1,-1
2021-01-03,GEN Y,2020-09-16,,,,2021-11-11,10,-1,N,-1,-1,0,Y,-1,-1
2021-01-03,GEN Z,2020-12-10,2021-01-18,2021-01-04,2021-01-06,2021-11-15,10,15,Y,1,3,10,Y,1,3
2021-01-03,GEN Y,2020-12-04,2021-11-01,,,,10,302,Y,-1,-1,0,N,-1,-1
2021-01-03,GEN Z,2019-11-25,,,,2021-01-04,10,-1,N,-1,-1,0,N,-1,-1
2021-01-04,GEN Y,2020-12-16,2021-01-13,2021-01-14,2021-01-21,2021-11-13,10,9,Y,10,17,10,Y,10,17
2021-01-04,GEN Y,2020-07-27,2021-03-26,2021-03-29,2021-05-02,2021-05-02,10,81,Y,84,118,0,N,>30,>30
2021-01-04,GEN Y,2020-07-27,2021-01-10,2021-01-05,2021-01-12,2021-10-30,10,6,Y,1,8,10,Y,1,8
2021-01-04,GEN Z,2020-01-22,2021-01-13,2021-01-04,2021-01-06,2021-11-14,10,9,Y,0,2,10,Y,0,2
2021-01-04,GEN Y,2020-12-20,2021-09-14,2021-02-08,2021-02-20,2021-11-14,10,253,Y,35,47,0,Y,>30,>30
2021-01-04,GEN Z,2020-12-08,2021-01-24,2021-01-24,2021-01-25,2021-07-16,10,20,Y,20,21,10,N,20,21
2021-01-04,GEN Y,2020-08-17,2021-01-09,2021-01-13,2021-01-18,2021-11-06,10,5,Y,9,14,10,Y,9,14
2021-01-04,GEN Y,2019-11-20,2021-01-13,2021-07-26,2021-08-04,2021-11-13,10,9,Y,203,212,0,Y,>30,>30
2021-01-04,GEN Y,2020-10-28,2021-01-13,2021-01-13,2021-02-01,2021-11-10,10,9,Y,9,28,10,Y,9,28
2021-01-04,GEN Y,2019-01-06,2021-01-13,2021-01-13,2021-01-14,2021-11-10,10,9,Y,9,10,10,Y,9,10
2021-01-04,GEN Y,2020-12-04,2021-01-21,2021-02-21,2021-02-26,2021-11-01,10,17,Y,48,53,0,Y,>30,>30
2021-01-04,GEN Y,2018-08-06,,,,,10,-1,N,-1,-1,0,N,-1,-1
2021-01-04,GEN Y,2019-12-28,2021-04-05,2021-01-31,2021-04-21,2021-08-26,10,91,Y,27,107,0,N,27,>30
2021-01-04,GEN Z,2020-10-12,2021-01-11,,,2021-07-06,10,7,Y,-1,-1,0,N,-1,-1
2021-01-04,BOOMER,2019-01-25,2021-01-09,2021-01-20,2021-02-07,2021-11-13,10,5,Y,16,34,0,Y,16,>30
2021-01-04,GEN Y,2020-12-13,,,,,10,-1,N,-1,-1,0,N,-1,-1
2021-01-04,GEN Z,2019-08-31,2021-01-25,2021-01-04,2021-01-05,2021-11-08,10,21,Y,0,1,10,Y,0,1
2021-01-04,GEN Z,2020-08-10,2021-02-04,2021-01-06,2021-01-27,2021-11-14,10,31,Y,2,23,10,Y,2,23
2021-01-04,GEN Z,2019-01-28,,,,2021-03-24,10,-1,N,-1,-1,0,N,-1,-1
2021-01-04,GEN Y,2020-09-30,2021-01-20,2021-01-20,2021-01-24,2021-11-12,10,16,Y,16,20,10,Y,16,20
2021-01-04,GEN Z,2020-02-08,2021-01-13,2021-01-09,2021-01-13,2021-11-13,10,9,Y,5,9,10,Y,5,9
2021-01-04,GEN Z,2019-08-12,,2021-01-10,2021-01-18,2021-02-21,10,-1,N,6,14,10,N,6,14
2021-01-04,GEN Z,2020-08-25,2021-01-13,2021-01-05,2021-01-16,2021-11-13,10,9,Y,1,12,10,Y,1,12
2021-01-04,GEN Y,2019-11-03,2021-01-14,2021-01-10,2021-01-18,2021-11-07,10,10,Y,6,14,10,Y,6,14
2021-01-04,GEN X,2020-10-17,2021-01-19,2021-01-11,2021-01-13,2021-11-15,10,15,Y,7,9,10,Y,7,9
2021-01-04,GEN Y,2020-01-23,2021-01-11,2021-01-15,2021-01-16,2021-11-11,10,7,Y,11,12,10,Y,11,12
2021-01-04,GEN Z,2020-01-21,2021-01-30,2021-02-27,2021-03-20,2021-11-14,10,26,Y,54,75,0,Y,>30,>30
2021-01-04,GEN Y,2020-05-11,2021-01-14,2021-01-14,2021-01-19,2021-11-11,10,10,Y,10,15,10,Y,10,15
2021-01-04,GEN Y,2020-05-04,2021-02-05,2021-01-20,2021-01-22,2021-09-15,10,32,Y,16,18,10,N,16,18
2021-01-04,GEN Z,2020-11-09,2021-07-22,2021-07-22,2021-07-23,2021-11-09,10,199,Y,199,200,0,Y,>30,>30
2021-01-04,GEN Z,2019-09-03,2021-01-12,2021-01-05,2021-01-08,2021-11-10,10,8,Y,1,4,10,Y,1,4
2021-01-04,GEN Z,2020-11-08,2021-01-11,2021-01-11,2021-02-07,2021-11-14,10,7,Y,7,34,0,Y,7,>30
2021-01-04,GEN Y,2020-12-04,2021-02-05,2021-01-07,2021-01-08,2021-11-11,10,32,Y,3,4,10,Y,3,4
2021-01-04,GEN X,2020-12-16,2021-01-13,2021-01-13,2021-01-21,2021-11-14,10,9,Y,9,17,10,Y,9,17
2021-01-04,GEN Z,2019-02-26,2021-01-08,2021-01-09,2021-01-11,2021-11-14,10,4,Y,5,7,10,Y,5,7
2021-01-04,GEN X,2020-12-04,2021-02-01,2021-02-09,2021-06-15,2021-11-14,10,28,Y,36,162,0,Y,>30,>30
2021-01-04,GEN Z,2020-02-08,,2021-03-12,,2021-04-17,10,-1,N,67,-1,0,N,>30,-1
2021-01-04,BOOMER,2020-10-26,2021-01-29,2021-02-08,,2021-07-02,10,25,Y,35,-1,0,N,>30,-1
2021-01-04,GEN Z,2019-08-17,2021-01-12,,,,10,8,Y,-1,-1,0,N,-1,-1
2021-01-04,GEN Z,2020-12-07,2021-01-26,2021-01-27,2021-01-27,2021-11-12,10,22,Y,23,23,10,Y,23,23
2021-01-04,GEN Y,2020-01-19,2021-01-16,2021-01-16,2021-01-20,2021-11-15,10,12,Y,12,16,10,Y,12,16
2021-01-04,GEN Y,2019-12-20,2021-01-13,2021-01-21,2021-01-27,2021-11-13,10,9,Y,17,23,10,Y,17,23
2021-01-04,GEN Z,2020-05-09,,2021-01-05,2021-01-15,2021-11-11,10,-1,N,1,11,10,Y,1,11
2021-01-04,GEN Z,2020-12-20,2021-01-22,2021-01-05,2021-01-18,2021-11-06,10,18,Y,1,14,10,Y,1,14
2021-01-04,GEN Y,2019-05-09,,,,2021-01-04,10,-1,N,-1,-1,0,N,-1,-1
2021-01-04,GEN Y,2020-07-16,,,,2021-01-04,10,-1,N,-1,-1,0,N,-1,-1
2021-01-04,GEN Z,2019-09-18,2021-01-15,2021-01-05,2021-01-06,2021-11-09,10,11,Y,1,2,10,Y,1,2
2021-01-04,GEN Z,2020-09-13,,2021-01-07,2021-02-19,2021-11-13,10,-1,N,3,46,0,Y,3,>30
2021-01-04,GEN Z,2019-05-28,2021-02-12,2021-07-10,2021-07-10,2021-11-11,10,39,Y,187,187,0,Y,>30,>30
2021-01-04,BOOMER,2020-02-06,,,,2021-01-04,10,-1,N,-1,-1,0,N,-1,-1
2021-01-04,GEN Y,2020-08-01,2021-02-01,2021-01-05,2021-01-06,2021-11-03,10,28,Y,1,2,10,Y,1,2
2021-01-05,GEN X,2020-04-10,2021-02-01,,,2021-04-15,10,27,Y,-1,-1,0,N,-1,-1
2021-01-05,GEN Z,2019-02-08,2021-01-14,2021-01-06,2021-01-07,2021-11-13,10,9,Y,1,2,10,Y,1,2
2021-01-05,GEN Z,2019-03-09,2021-01-17,2021-01-14,2021-03-08,2021-11-05,10,12,Y,9,62,0,Y,9,>30
2021-01-05,GEN Y,2020-09-11,2021-01-28,2021-01-28,2021-01-30,2021-11-10,10,23,Y,23,25,10,Y,23,25
2021-01-05,GEN Y,2020-03-22,2021-01-25,2021-01-25,2021-02-07,2021-10-01,10,20,Y,20,33,0,N,20,>30
2021-01-05,GEN X,2020-05-01,,,,2021-01-05,10,-1,N,-1,-1,0,N,-1,-1
2021-01-05,GEN X,2020-11-29,,,,,10,-1,N,-1,-1,0,N,-1,-1
2021-01-05,GEN Z,2020-02-01,2021-01-13,2021-06-28,2021-07-01,2021-11-14,10,8,Y,174,177,0,Y,>30,>30
2021-01-05,GEN Z,2019-04-21,2021-02-03,2021-01-09,2021-01-13,2021-11-14,10,29,Y,4,8,10,Y,4,8
2021-01-05,GEN Y,2020-07-26,2021-02-02,2021-02-03,,2021-03-10,10,28,Y,29,-1,0,N,29,-1
2021-01-05,GEN Z,2020-12-08,,,,2021-01-07,10,-1,N,-1,-1,0,N,-1,-1
2021-01-05,GEN Y,2020-11-07,2021-03-31,2021-04-07,,2021-04-16,10,85,Y,92,-1,0,N,>30,-1
2021-01-05,GEN Z,2020-11-11,,2021-01-08,2021-01-11,2021-11-12,10,-1,N,3,6,10,Y,3,6
2021-01-05,GEN Z,2020-04-21,2021-01-31,2021-02-05,2021-04-20,2021-07-28,10,26,Y,31,105,0,N,>30,>30
